model,condition,language_pair,n,ftga_pct,mean_rtt,mean_token_tax,unresolved_pct,initially_failed_n
gpt-4.1,baseline,ar-en,40,65.0,0.4,1.622,2.5,14
gpt-4.1,baseline,es-en,40,67.5,0.375,1.594,2.5,13
gpt-4.1,baseline,hi-en,40,97.5,0.075,1.087,2.5,1
gpt-4.1,contract,ar-en,40,90.0,0.25,1.218,7.5,4
gpt-4.1,contract,es-en,40,92.5,0.125,1.122,2.5,3
gpt-4.1,contract,hi-en,40,97.5,0.075,1.063,2.5,1
gpt-4.1-mini,baseline,ar-en,40,62.5,0.4,1.636,0.0,15
gpt-4.1-mini,baseline,es-en,40,67.5,0.375,1.574,2.5,13
gpt-4.1-mini,baseline,hi-en,40,97.5,0.05,1.085,0.0,1
gpt-4.1-mini,contract,ar-en,40,72.5,0.325,1.366,2.5,11
gpt-4.1-mini,contract,es-en,40,67.5,0.375,1.421,2.5,13
gpt-4.1-mini,contract,hi-en,40,97.5,0.025,1.029,0.0,1
gpt-4.1-nano,baseline,ar-en,40,37.5,0.975,2.432,15.0,25
gpt-4.1-nano,baseline,es-en,40,70.0,0.325,1.53,0.0,12
gpt-4.1-nano,baseline,hi-en,40,95.0,0.1,1.116,2.5,2
gpt-4.1-nano,contract,ar-en,40,62.5,0.55,1.573,7.5,15
gpt-4.1-nano,contract,es-en,40,72.5,0.325,1.359,2.5,11
gpt-4.1-nano,contract,hi-en,40,95.0,0.1,1.092,2.5,2
